"twitter_id","author_id","gender","age_range","ideological_binary","ideological_multiclass","split_author_profiling","split_author_attribution","source"
"1230065246548692993","@user166","male","35-49","left","left","val","nan","twitter"
"1226831052594929665","@user178","male","35-49","left","moderate_left","train","train","twitter"
"1229495004697157632","@user255","male","over-65","left","moderate_left","train","train","twitter"
"1246077658489851905","@user102","female","25-34","right","right","train","train","twitter"
"1236200256183902209","@user187","male","50-64","left","moderate_left","train","train","twitter"
"1289655584195674114","@user11","female","35-49","right","moderate_right","nan","val","twitter"
"1252603593796071430","@user238","male","50-64","left","left","val","nan","twitter"
"1221874576126283778","@user60","male","35-49","right","moderate_right","train","train","twitter"
"1235135517139886080","@user97","female","25-34","left","left","train","train","twitter"
"1268591615893016579","@user138","male","50-64","left","moderate_left","train","train","twitter"
"1310842819075076096","@user106","female","50-64","left","moderate_left","nan","test","twitter"
"1305900736669253632","@user37","male","35-49","left","left","train","train","twitter"
"1295634578548416512","@user19","male","50-64","right","right","train","train","twitter"
"1306621719789133824","@user52","female","50-64","left","moderate_left","nan","val","twitter"
"1316424170717114368","@user218","male","50-64","right","right","nan","val","twitter"
"1319195928046276608","@user232","female","35-49","left","left","nan","test","twitter"
"1240378261420589062","@user201","male","50-64","right","moderate_right","train","train","twitter"
"1305883042217680897","@user203","male","50-64","left","left","test","nan","twitter"
"1230494115483258880","@user245","male","50-64","left","moderate_left","val","nan","twitter"
"1331174100346298369","@user19","male","50-64","right","right","nan","val","twitter"
"1242819374974668800","@user195","female","50-64","left","moderate_left","test","nan","twitter"
"1314124027389186049","@user22","male","50-64","right","right","nan","test","twitter"
"1252917214853898240","@user244","female","35-49","left","moderate_left","val","nan","twitter"
"1306229850185834499","@user54","male","50-64","left","left","nan","test","twitter"
"1307972225249824768","@user33","female","50-64","left","left","nan","test","twitter"
"1328620098941280257","@user249","female","35-49","right","moderate_right","nan","test","twitter"
"1295109748199763968","@user189","male","over-65","right","right","train","train","twitter"
"1241072948095717382","@user62","male","35-49","left","left","train","train","twitter"
"1256883116305797120","@user177","male","35-49","left","moderate_left","val","nan","twitter"
"1272475066589208577","@user132","male","50-64","left","left","train","train","twitter"
"1319619750171901952","@user49","female","50-64","right","moderate_right","nan","test","twitter"
"1324470457085661184","@user40","male","35-49","left","moderate_left","nan","test","twitter"
"1254129245489676289","@user221","male","35-49","right","right","train","train","twitter"
"1311805301411188742","@user67","female","35-49","right","right","nan","val","twitter"
"1271380986216026113","@user90","male","50-64","right","moderate_right","train","train","twitter"
"1230554746408198151","@user132","male","50-64","left","left","train","train","twitter"
"1275474736194162688","@user225","male","35-49","right","moderate_right","test","nan","twitter"
"1325125270030966789","@user246","male","35-49","left","left","nan","val","twitter"
"1265683981485342721","@user81","male","35-49","left","left","train","train","twitter"
"1252199174386470919","@user247","male","35-49","left","left","val","nan","twitter"
"1249328068918947845","@user89","male","50-64","left","moderate_left","test","nan","twitter"
"1253420932024037376","@user7","male","35-49","right","moderate_right","train","train","twitter"
"1258850659618578432","@user129","male","35-49","left","left","train","train","twitter"
"1270269723733786625","@user261","male","50-64","right","moderate_right","train","train","twitter"
"1328443099853545472","@user53","male","35-49","right","moderate_right","nan","test","twitter"
"1321541678717698050","@user130","male","35-49","right","moderate_right","nan","test","twitter"
"1309791261231063042","@user169","male","50-64","right","right","nan","test","twitter"
"1315658653748400128","@user221","male","35-49","right","right","nan","val","twitter"
"1273966660634976259","@user75","female","25-34","left","left","train","train","twitter"
"1253227058932658182","@user159","female","35-49","right","right","train","train","twitter"
"1262824257131810818","@user234","male","50-64","right","right","test","nan","twitter"
"1230234480272605186","@user99","male","35-49","left","moderate_left","train","train","twitter"
"1319256284038922241","@user87","male","over-65","left","moderate_left","nan","test","twitter"
"1239560031068024835","@user141","female","25-34","left","moderate_left","train","train","twitter"
"1326511490820673537","@user95","female","50-64","left","moderate_left","nan","test","twitter"
"1259788452100558849","@user255","male","over-65","left","moderate_left","train","train","twitter"
"1308477862018777089","@user90","male","50-64","right","moderate_right","nan","test","twitter"
"1293127959688163328","@user268","female","35-49","right","moderate_right","nan","test","twitter"
"1276197782869729285","@user53","male","35-49","right","moderate_right","nan","val","twitter"
"1257277384753065984","@user213","female","35-49","right","right","train","train","twitter"
"1314274289194086402","@user209","male","35-49","right","moderate_right","nan","test","twitter"
"1272269046424240129","@user244","female","35-49","left","moderate_left","val","nan","twitter"
"1239545728877371393","@user90","male","50-64","right","moderate_right","train","train","twitter"
"1238075794662002689","@user11","female","35-49","right","moderate_right","train","train","twitter"
"1305533197279793153","@user161","male","35-49","right","right","test","nan","twitter"
"1331328947410366464","@user178","male","35-49","left","moderate_left","nan","val","twitter"
"1293196687788343297","@user34","female","35-49","right","moderate_right","train","train","twitter"
"1222134829145296896","@user74","female","25-34","left","left","train","train","twitter"
"1276526524494209025","@user125","female","35-49","left","moderate_left","val","nan","twitter"
"1286608329167511553","@user239","male","25-34","left","left","nan","val","twitter"
"1321163908858728449","@user33","female","50-64","left","left","nan","val","twitter"
"1254156445433683968","@user146","male","50-64","right","moderate_right","val","nan","twitter"
"1305069605917003781","@user241","male","35-49","right","right","val","nan","twitter"
"1321942548093587458","@user15","male","35-49","left","left","nan","test","twitter"
"1232292034750418945","@user188","male","35-49","right","moderate_right","train","train","twitter"
"1272244089262608386","@user178","male","35-49","left","moderate_left","train","train","twitter"
"1273246451401973762","@user35","female","35-49","left","moderate_left","train","train","twitter"
"1278238980895649792","@user85","female","35-49","right","moderate_right","nan","test","twitter"
"1235596992123990021","@user234","male","50-64","right","right","test","nan","twitter"
"1273685709178777600","@user132","male","50-64","left","left","train","train","twitter"
"1299385401820536833","@user15","male","35-49","left","left","nan","val","twitter"
"1240952943228194817","@user4","female","35-49","right","moderate_right","test","nan","twitter"
"1315314463072022531","@user194","male","50-64","right","right","test","nan","twitter"
"1310997373691273216","@user197","male","50-64","left","left","nan","test","twitter"
"1295671122990641154","@user261","male","50-64","right","moderate_right","nan","val","twitter"
"1325801839800049665","@user52","female","50-64","left","moderate_left","nan","test","twitter"
"1317846946606964738","@user148","male","50-64","left","moderate_left","nan","val","twitter"
"1330139390853734405","@user155","male","25-34","left","left","nan","val","twitter"
"1317485349673861120","@user192","female","50-64","left","moderate_left","nan","val","twitter"
"1273308571443355648","@user89","male","50-64","left","moderate_left","test","nan","twitter"
"1300407236452167680","@user162","male","35-49","left","moderate_left","nan","test","twitter"
"1279066190237831169","@user55","male","35-49","right","moderate_right","nan","val","twitter"
"1326853349409497089","@user37","male","35-49","left","left","nan","val","twitter"
"1252868095556767744","@user149","female","35-49","left","moderate_left","val","nan","twitter"
"1270696466504454144","@user113","male","25-34","right","moderate_right","train","train","twitter"
"1326084471804792832","@user18","male","50-64","left","left","nan","val","twitter"
"1285471331417575425","@user209","male","35-49","right","moderate_right","train","train","twitter"
"1260937955172126722","@user48","female","35-49","right","right","test","nan","twitter"
"1229812420266385411","@user32","male","50-64","left","moderate_left","test","nan","twitter"
"1288761542645882880","@user251","female","35-49","right","right","val","nan","twitter"
"1314606301843009545","@user17","male","35-49","left","moderate_left","nan","test","twitter"
"1247884523217408003","@user164","male","35-49","left","moderate_left","train","train","twitter"
"1218872928378544129","@user64","female","25-34","right","right","test","nan","twitter"
"1243965897976565760","@user163","male","25-34","left","moderate_left","train","train","twitter"
"1235275478203760640","@user262","female","50-64","left","moderate_left","test","nan","twitter"
"1303307070717001728","@user47","male","50-64","right","moderate_right","nan","val","twitter"
"1284005071970283520","@user259","male","over-65","left","left","nan","val","twitter"
"1327204745778520065","@user126","male","25-34","left","moderate_left","nan","test","twitter"
"1275943295085154309","@user258","female","50-64","left","left","val","nan","twitter"
"1255972295111323653","@user38","male","35-49","right","moderate_right","test","nan","twitter"
"1242922267107090438","@user239","male","25-34","left","left","train","train","twitter"
"1258278956563865600","@user231","female","35-49","left","moderate_left","test","nan","twitter"
"1310988218146447365","@user60","male","35-49","right","moderate_right","nan","val","twitter"
"1313076125170630657","@user156","female","35-49","left","moderate_left","nan","val","twitter"
"1273172541469843457","@user242","male","35-49","left","moderate_left","train","train","twitter"
"1238197704783732736","@user172","male","35-49","right","moderate_right","train","train","twitter"
"1287995284077912064","@user209","male","35-49","right","moderate_right","train","train","twitter"
"1277730102302908417","@user44","female","50-64","left","left","nan","val","twitter"
"1242930052007899138","@user195","female","50-64","left","moderate_left","test","nan","twitter"
"1326485748862824449","@user244","female","35-49","left","moderate_left","val","nan","twitter"
"1312011892106448896","@user61","female","50-64","left","left","val","nan","twitter"
"1326075319808352258","@user246","male","35-49","left","left","nan","val","twitter"
"1240215163770490880","@user240","male","35-49","left","left","train","train","twitter"
"1224043605863649280","@user89","male","50-64","left","moderate_left","test","nan","twitter"
"1323682325163614208","@user74","female","25-34","left","left","nan","val","twitter"
"1261204087497949184","@user78","female","over-65","left","moderate_left","val","nan","twitter"
"1222954805301272577","@user239","male","25-34","left","left","train","train","twitter"
"1291301699768987649","@user196","male","50-64","left","moderate_left","nan","val","twitter"
"1286437772635627521","@user164","male","35-49","left","moderate_left","train","train","twitter"
"1293219902552236034","@user220","female","50-64","right","moderate_right","train","train","twitter"
"1280403518382379008","@user234","male","50-64","right","right","test","nan","twitter"
"1229449157615783937","@user154","male","35-49","right","moderate_right","val","nan","twitter"
"1243137103262859264","@user119","male","50-64","right","moderate_right","val","nan","twitter"
"1242898365551128579","@user11","female","35-49","right","moderate_right","train","train","twitter"
"1268094979102081025","@user230","female","50-64","left","moderate_left","train","train","twitter"
"1303813140036169729","@user150","male","35-49","right","right","nan","val","twitter"
"1328410795760300033","@user19","male","50-64","right","right","nan","val","twitter"
"1256335512446529538","@user198","female","35-49","right","moderate_right","train","train","twitter"
"1243596397934501890","@user238","male","50-64","left","left","val","nan","twitter"
"1320431508897861632","@user18","male","50-64","left","left","nan","val","twitter"
"1231207956592631809","@user98","male","25-34","right","moderate_right","train","train","twitter"
"1266661497373065216","@user41","male","25-34","left","moderate_left","test","nan","twitter"
"1226450132633296898","@user99","male","35-49","left","moderate_left","train","train","twitter"
"1246757011884212225","@user126","male","25-34","left","moderate_left","train","train","twitter"
"1227287176066543616","@user11","female","35-49","right","moderate_right","train","train","twitter"
"1283740097284845568","@user209","male","35-49","right","moderate_right","train","train","twitter"
"1265919883314958336","@user18","male","50-64","left","left","train","train","twitter"
"1324032066686734336","@user213","female","35-49","right","right","nan","test","twitter"
"1234503059029602307","@user115","male","50-64","right","moderate_right","train","train","twitter"
"1307696161738850304","@user232","female","35-49","left","left","nan","val","twitter"
"1270649282706771971","@user211","male","50-64","left","moderate_left","train","train","twitter"
"1266396023049670658","@user44","female","50-64","left","left","train","train","twitter"
"1259886753793675266","@user179","female","35-49","left","moderate_left","test","nan","twitter"
"1255043686439796736","@user27","male","35-49","left","moderate_left","train","train","twitter"
"1309864885761773569","@user75","female","25-34","left","left","nan","test","twitter"
"1226817077199147008","@user155","male","25-34","left","left","train","train","twitter"
"1314562334048874496","@user220","female","50-64","right","moderate_right","nan","test","twitter"
"1242833007452606470","@user230","female","50-64","left","moderate_left","train","train","twitter"
"1270657435762655232","@user134","female","35-49","left","moderate_left","train","train","twitter"
"1321901320492716036","@user55","male","35-49","right","moderate_right","nan","test","twitter"
"1218289920822910978","@user110","male","50-64","right","right","train","train","twitter"
"1316302481014562816","@user126","male","25-34","left","moderate_left","nan","val","twitter"
"1250717972039114752","@user218","male","50-64","right","right","train","train","twitter"
"1308495924164014082","@user137","male","50-64","left","moderate_left","nan","test","twitter"
"1263210095812411398","@user58","male","over-65","right","moderate_right","val","nan","twitter"
"1251528914796793857","@user1","male","50-64","right","moderate_right","train","train","twitter"
"1248202394250416129","@user73","female","35-49","left","moderate_left","test","nan","twitter"
"1273142131713019911","@user98","male","25-34","right","moderate_right","train","train","twitter"
"1302561398896177152","@user199","female","35-49","right","moderate_right","nan","test","twitter"
"1331969035823689728","@user29","male","50-64","right","right","nan","test","twitter"
"1312322718910603264","@user160","male","50-64","right","moderate_right","nan","test","twitter"
"1245275120823865344","@user239","male","25-34","left","left","train","train","twitter"
"1313592496480555017","@user116","male","50-64","right","moderate_right","nan","val","twitter"
"1329840657788260356","@user227","female","50-64","left","moderate_left","nan","test","twitter"
"1253585717575340034","@user128","male","35-49","left","left","train","train","twitter"
"1296471826684678146","@user127","male","25-34","right","right","nan","test","twitter"
"1307388520332492801","@user156","female","35-49","left","moderate_left","nan","test","twitter"
"1307289017436733441","@user66","female","35-49","right","moderate_right","train","train","twitter"
"1215219728408596480","@user252","female","35-49","left","moderate_left","train","train","twitter"
"1275755839484297218","@user83","male","25-34","right","moderate_right","nan","val","twitter"
"1214239742990192640","@user99","male","35-49","left","moderate_left","train","train","twitter"
"1307590365894057991","@user256","female","50-64","right","moderate_right","nan","val","twitter"
"1317931691965599750","@user69","female","35-49","left","left","nan","val","twitter"
"1251614458063044609","@user112","male","35-49","right","moderate_right","train","train","twitter"
"1286057284016254985","@user15","male","35-49","left","left","nan","test","twitter"
"1270740123097931776","@user168","male","50-64","left","left","train","train","twitter"
"1247279440389963776","@user190","male","25-34","right","moderate_right","test","nan","twitter"
"1321131079642845184","@user81","male","35-49","left","left","nan","val","twitter"
"1313570397531578372","@user53","male","35-49","right","moderate_right","nan","val","twitter"
"1221552786078388228","@user25","male","35-49","right","moderate_right","train","train","twitter"
"1325789951825473536","@user79","female","25-34","left","left","nan","test","twitter"
"1248157746379329536","@user129","male","35-49","left","left","train","train","twitter"
"1301549576353124353","@user107","male","50-64","left","moderate_left","nan","test","twitter"
"1255821026124009472","@user90","male","50-64","right","moderate_right","train","train","twitter"
"1253771678292869121","@user13","male","25-34","right","moderate_right","train","train","twitter"
"1233097016869257222","@user163","male","25-34","left","moderate_left","train","train","twitter"
"1328862439249768449","@user83","male","25-34","right","moderate_right","nan","test","twitter"
"1238577632301678595","@user213","female","35-49","right","right","train","train","twitter"
"1225723055307137025","@user250","male","25-34","right","right","test","nan","twitter"
"1240686180460421121","@user67","female","35-49","right","right","train","train","twitter"
"1220364793183379456","@user213","female","35-49","right","right","train","train","twitter"
"1299027852407582720","@user251","female","35-49","right","right","val","nan","twitter"
"1279073949851189250","@user169","male","50-64","right","right","nan","val","twitter"
"1313898933656092673","@user18","male","50-64","left","left","nan","test","twitter"
"1261253549939400706","@user167","male","35-49","left","left","train","train","twitter"
"1298643915432656898","@user175","male","35-49","right","right","nan","test","twitter"
"1243860413621637120","@user245","male","50-64","left","moderate_left","val","nan","twitter"
"1263183480244051968","@user249","female","35-49","right","moderate_right","train","train","twitter"
"1321036178167111680","@user33","female","50-64","left","left","nan","val","twitter"
"1243472473166921729","@user146","male","50-64","right","moderate_right","val","nan","twitter"
"1252288120290193408","@user237","female","25-34","left","moderate_left","train","train","twitter"
"1218480312868573184","@user94","female","35-49","left","moderate_left","train","train","twitter"
"1270224092457840647","@user101","male","35-49","right","right","test","nan","twitter"
"1329447360733261832","@user3","female","50-64","left","left","nan","test","twitter"
"1288459201732378625","@user116","male","50-64","right","moderate_right","nan","test","twitter"
"1225468582982750208","@user166","male","35-49","left","left","val","nan","twitter"
"1262984392349229056","@user197","male","50-64","left","left","train","train","twitter"
"1258003104219443200","@user102","female","25-34","right","right","train","train","twitter"
"1278960625255952385","@user109","female","50-64","right","moderate_right","val","nan","twitter"
"1322116998516645890","@user9","female","25-34","left","left","nan","test","twitter"
"1230174185546227715","@user172","male","35-49","right","moderate_right","train","train","twitter"
"1251979169602375681","@user165","male","50-64","right","moderate_right","test","nan","twitter"
"1298273683367014403","@user152","male","35-49","left","moderate_left","nan","val","twitter"
"1220744338910732288","@user40","male","35-49","left","moderate_left","train","train","twitter"
"1218308193744539648","@user5","male","35-49","right","moderate_right","val","nan","twitter"
